Domain	Status	Genome	Gene Count	
A	P	Thaumarchaeota archaeum JGI 001001-B07	1	
A	P	Aigarchaeota archaeon SCGC AAA471-E16 (contamination screened) (GBS-N_001_11)	2	
A	P	Haloferax sp. SB3	3	
A	P	Halorubrum tropicale 5	2	
A	P	Halogeometricum pallidum JCM 14848	3	
A	F	Thermococcus paralvinellae ES1	1	
A	P	Methanobrevibacter filiformis DSM11501	1	
A	P	Halopenitus sp. DYS4	2	
A	F	Natronomonas moolapensis 8.8.11, DSM 18674	4	
A	F	Thermococcus sibiricus MM 739	1	
A	P	Halobacterium sp. CBA1132	1	
A	F	Methanocaldococcus sp. FS406-22	1	
A	P	Haloterrigena saccharevitans AB14 (Draft1)	3	
A	P	Haloarcula argentinensis DSM 12282	4	
A	F	Pyrococcus sp. NA2	1	
A	P	Euryarchaeota archaeon JGI CrystG Aug3-3-I21 (unscreened)	1	
A	P	Halogeometricum limi CGMCC 1.8711	2	
A	D	Unclassified Aigarchaeota JZ bin_19	2	
A	P	Haloquadratum walsbyi J07HQW2 (version 2)	3	
A	F	halophilic archaeon DL31	1	
A	F	Methanobrevibacter sp. AbM4	1	
A	F	Methanosaeta harundinacea 6Ac	1	
A	P	Haloterrigena jeotgali A29	3	
A	P	Methanobacterium sp. Maddingley MBC34	1	
A	F	Methanobacterium formicicum Mb91	1	
A	P	Halobiforma lacisalsi AJ5, JCM 12983	3	
A	F	Pyrococcus sp. ST04	1	
A	F	Natronococcus occultus SP4, DSM 3396	3	
A	F	Methanocaldococcus fervens AG86	1	
A	P	Aigarchaeota archaeon SCGC AAA471-I13 (contamination screened) (GBS-N_001_17)	2	
A	P	Halapricum salinum CBA1105	2	
A	P	Halorhabdus tiamatea SARL4B	1	
A	P	Methanothermococcus thermolithotrophicus DSM 2095	1	
A	F	Pyrobaculum sp. WP30	2	
A	P	Natrinema pellirubrum 157	3	
A	F	Thermosphaera aggregans M11TL, DSM 11486	1	
A	P	Halopenitus persicus IBRC10041	2	
A	F	Haloferax mediterranei R-4	3	
A	P	Haloarcula sp. K1	3	
A	P	Aigarchaeota archaeon JGI 0000001-B8 (contamination screened) (GBS-A_001_113)	2	
A	P	Haloarchaeobius iranensis IBRC-M 10013	1	
A	F	uncultured marine group II euryarchaeote	1	
A	P	Haloferax alexandrinus JCM 10717	2	
A	F	Halorhabdus utahensis AX-2, DSM 12940	1	
A	D	Euryarchaeota archaeon RBG_16_62_10	1	
A	F	Haloferax volcanii DS2, ATCC 29605	2	
A	D	Euryarchaeota archaeon RBG_19FT_COMBO_56_21	1	
A	P	Natronorubrum sediminis CGMCC 1.8981	2	
A	F	Thermococcus barophilus MP, DSM 11836	1	
A	P	candidate divison MSBL1 archaeon SCGC-AAA833K04	1	
A	P	Halococcus hamelinensis 100A6	1	
A	F	Methanococcus vannielii SB	1	
A	F	Ferroplasma acidarmanus Fer1	1	
A	P	Halococcus salifodinae BIp	1	
A	P	Methanobrevibacter smithii TS95D	1	
A	P	Natronococcus amylolyticus DSM 10524	3	
A	P	Halococcus thailandensis JCM 13552	2	
