taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
2508501109	Archaea	Finished	CSP_300154_796307	Aciduliprofundum sp. MAR08-339	DOE Joint Genome Institute (JGI)	2508501109	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum sp. MAR08-339	1437090	1598	
2675903482	Archaea	Permanent Draft	Genome sequencing of Aeropyrum camini JCM 12091	Aeropyrum camini SY1, JCM 12091	University of Tokyo	2675903482	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini	1588147	2139	
2588254065	Archaea	Permanent Draft	Sulfolobales archaeon AZ1	Sulfolobales archaeon AZ1	National Autonomous University of Mexico, Cinvestav, Guanajuato	2588254065	Crenarchaeota	Thermoprotei	Sulfolobales	unclassified	unclassified	Sulfolobales archaeon AZ1	1798894	2002	
2514885038	Archaea	Permanent Draft	Sulfolobales HSU1	Sulfolobales sp. HSU1	Axeq Technologies	2514885038	Crenarchaeota	Thermoprotei	Sulfolobales	unclassified	unclassified	unclassified	4003885	7370	
2510065023	Archaea	Finished	Candidatus Nitrososphaera gargensis Ga9-2	Candidatus Nitrososphaera gargensis Ga9-2	Goettingen Genomics Laboratory	2510065023	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera gargensis	2833736	3599	
640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348	DOE Joint Genome Institute (JGI)	640427120	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	2191517	2347	
2524614679	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Halorubrum ezzemoulense DSM 17463	DOE Joint Genome Institute (JGI)	2524614679	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense	3593334	3661	
638154522	Archaea	Finished	Thermoplasma volcanium GSS1	Thermoplasma volcanium GSS1		638154522	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	1584804	1615	
2627854017	Archaea	Finished	Methanothermobacter thermautotrophicus CaT2 genome sequencing project	Methanothermobacter thermautotrophicus CaT2	National Institute of Genetics, Japan	2627854017	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. CaT2	1731018	1837	
2548876772	Archaea	Permanent Draft	Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.22	University of Illinois	2548876772	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2680985	3127	
2519899514	Archaea	Permanent Draft	Thaumarchaeota archaon strain BS4	Thaumarchaeota archaeon BS4		2519899514	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1202119	1437	
2504136013	Archaea	Permanent Draft	Acidilobus sulfurireducens sp. nov.	Acidilobus sulfurireducens sp. nov.	SymBio Corporation	2504136013	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sulfurireducens	1648899	1925	
650716055	Archaea	Finished	CSP_787660, Methanoarchaea	Methanothermococcus okinawensis IH1	DOE Joint Genome Institute (JGI)	650716055	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis	1677455	1672	
638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Picrophilus torridus DSM 9790	Technical University of Hamburg, University of Gottingen, ANRT	638154512	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	1545895	1605	
2264867017	Archaea	Permanent Draft	Subsurface geothermal stream microbial mat communities from Hishikari gold mine, Kagoshima Prefecture, Japan	Candidatus Caldiarchaeum subterraneum (unscreened) (MDM ref genome pSL4 group)	Takara Bio Inc	2264867017	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum subterraneum	1680938	1878	
