Domain	Status	Genome	Gene Count	
A	P	Sulfolobus acidocaldarius NG05B_CO5_04	1	
A	D	Unclassfied Crenarchaeota GMQ bin_5	2	
A	D	Aigarchaeota T1 r01 (Aigarchaeota T1 r01 (Octopus-11))	1	
A	F	Methanosarcina acetivorans C2A	1	
A	D	Thermoproteaceae Type I archaeon	1	
A	P	Marine Group I thaumarchaeote sp. SCGC AAA288-N15 (unscreened)	1	
A	F	Methanosarcina mazei SarPi	1	
A	F	Methanocella conradii HZ254	1	
A	P	Methanosarcina mazei 3.H.A.2.4	1	
A	D	Thermoplasmatales-like-NAG3-r01 (from OSP_D)	1	
A	F	Methanosarcina mazei Go1	1	
A	P	Thaumarchaeota archaeon SCGC AC-312_E20 - v2 (unscreened)	1	
A	P	Thaumarchaeota archaeon SCGC AC-312_A11 - v2 (unscreened)	1	
A	D	NAG2_ff85-r02 (from OSP_C)	1	
A	P	Thermoproteales Type I	1	
A	F	Thaumarchaeota archaeon MY3	2	
A	F	Methanosarcina mazei WWM610	1	
A	F	Sulfolobus acidocaldarius 98-3, DSM 639	1	
A	F	Pyrococcus sp. NA2	2	
A	P	Methanosarcina mazei 1.F.M.0.5	1	
A	P	Thaumarchaeota archaeon SCGC AC-312_M21v2 (contamination screened)	1	
A	F	Thermococcus piezophilus CDGS	3	
A	P	candidate divison MSBL1 archaeon SCGC-AAA382M17	1	
A	P	Halobellus salinus DSM 18730	1	
A	F	Methanosarcina thermophila CHTI-55	1	
A	D	Sulfolobales-Type-2-ST2-r01 (from CH_1)	1	
A	P	Thaumarchaeota archaeon SCGC AAA007-O23 (contamination screened) (TG_002_783)	1	
A	P	Thaumarchaeota archaeon N4	1	
A	P	Methanosarcina mazei 1.F.A.2.8	1	
A	F	Sulfolobus islandicus Y.G.57.14	1	
A	P	Thaumarchaeota archaeon SCGC AC-312_F15 - v2 (contamination screened)	1	
A	P	Aigarchaeota archaeon SCGC AAA471-D15 (contamination screened) (Combined_Assembly_pSL4_2__pSL4)	1	
A	P	Methanosarcina mazei YBM.H.M.1A.2	1	
A	P	Thermoproteales Type I	1	
A	P	Haladaptatus paucihalophilus DX253	1	
A	P	Ignisphaera sp.	3	
A	P	Natrinema pallidum DSM 3751	1	
A	P	Methanosarcina mazei 1.H.M.2.3	1	
A	D	Thaumarchaeota-Tha-I.1e-r01 (from DS_9)	2	
A	P	Thermococcus zilligii AN1	2	
A	P	Methanosarcina mazei 3.F.A.1A.3	1	
A	D	Unclassified euryarchaeota (Marine Group II) REDSEA-S40_B11N13	1	
A	D	Unclassfied Crenarchaeota JZ bin_20	3	
A	P	Methanosarcina mazei 2.F.A.2.3	1	
A	F	Thermoproteus uzoniensis 768-20	1	
A	P	Candidatus Acidianus copahuensis ALE1	1	
A	P	Methanoculleus sp. MH98A	2	
A	F	Methanosarcina barkeri Wiesmoor	1	
A	D	Candidatus Thalassoarchaea mediterranii composite genome	1	
A	D	Unclassified archaeon JZ bin_30	2	
A	F	Thermococcus nautili 30-1 (unscreened)	2	
A	P	Candidatus Methanomethylicus mesodigestum V2	3	
A	D	Candidatus Bathyarchaeota archaeon RBG_16_57_9	1	
A	F	Methanoregula boonei 6A8	1	
A	D	Thermoproteales-Type-1-TT1-r01 (from MG_3)	1	
A	F	Methanolobus psychrophilus R15	1	
A	D	Unclassified Aigarchaeota JZ bin_40	1	
A	P	Aigarchaeota archaeon JGI MDM2 JNZ-1-N15 (contamination screened)	1	
A	F	Uncultured Crenarchaeota C2	1	
A	P	Sulfolobus islandicus M.16.30	1	
A	P	Methanosarcina mazei 3.F.T.2.1	1	
A	P	Methanosarcina mazei 3.H.A.2.8	1	
A	P	Acidilobus sulfurireducens sp. nov.	1	
A	P	Marine Group I thaumarchaeote sp. SCGC AAA008-O05 (unscreened)	1	
A	P	Thermoplasmata archaea JGI 04_M4 (contamination screened)	1	
A	P	Methanosarcina mazei 3.H.A.1A.2	1	
