taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
2508501109	Archaea	Finished	CSP_300154_796307	Aciduliprofundum sp. MAR08-339	DOE Joint Genome Institute (JGI)	2508501109	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum sp. MAR08-339	1437090	1598	
2675903482	Archaea	Permanent Draft	Genome sequencing of Aeropyrum camini JCM 12091	Aeropyrum camini SY1, JCM 12091	University of Tokyo	2675903482	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini	1588147	2139	
2588254065	Archaea	Permanent Draft	Sulfolobales archaeon AZ1	Sulfolobales archaeon AZ1	National Autonomous University of Mexico, Cinvestav, Guanajuato	2588254065	Crenarchaeota	Thermoprotei	Sulfolobales	unclassified	unclassified	Sulfolobales archaeon AZ1	1798894	2002	
650377985	Archaea	Finished	Vulcanisaeta moutnovskia 768-28	Vulcanisaeta moutnovskia 768-28	Russian Academy of Science, Centre Bioengineering	650377985	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia	2298983	2365	
638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Methanocaldococcus jannaschii DSM 2661	J. Craig Venter Institute (JCVI)	638154505	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	1739927	1844	
2514885038	Archaea	Permanent Draft	Sulfolobales HSU1	Sulfolobales sp. HSU1	Axeq Technologies	2514885038	Crenarchaeota	Thermoprotei	Sulfolobales	unclassified	unclassified	unclassified	4003885	7370	
2510065023	Archaea	Finished	Candidatus Nitrososphaera gargensis Ga9-2	Candidatus Nitrososphaera gargensis Ga9-2	Goettingen Genomics Laboratory	2510065023	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera gargensis	2833736	3599	
640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348	DOE Joint Genome Institute (JGI)	640427120	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	2191517	2347	
2513237118	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus mobilis DSM 2161	DOE Joint Genome Institute (JGI)	2513237118	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mobilis	1198142	1331	
2524614679	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Halorubrum ezzemoulense DSM 17463	DOE Joint Genome Institute (JGI)	2524614679	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense	3593334	3661	
644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Thermococcus gammatolerans EJ3	CEA Genoscope	644736411	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	2045438	2206	
638154522	Archaea	Finished	Thermoplasma volcanium GSS1	Thermoplasma volcanium GSS1		638154522	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	1584804	1615	
2627854017	Archaea	Finished	Methanothermobacter thermautotrophicus CaT2 genome sequencing project	Methanothermobacter thermautotrophicus CaT2	National Institute of Genetics, Japan	2627854017	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. CaT2	1731018	1837	
2548876772	Archaea	Permanent Draft	Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.22	University of Illinois	2548876772	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2680985	3127	
2519899514	Archaea	Permanent Draft	Thaumarchaeota archaon strain BS4	Thaumarchaeota archaeon BS4		2519899514	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1202119	1437	
