Domain	Status	Genome	Gene Count	
B	P	Mycobacterium abscessus PAP056	7	
B	F	Corynebacterium glutamicum CP	6	
B	P	Rhodococcus fascians 02-816c	6	
B	P	Burkholderia contaminans LMG 23361	6	
B	P	Desulfobacterales bacterium SG8_35_2	5	
B	P	Mycobacterium obuense UC1	5	
B	F	Burkholderia multivorans DDS 15A-1	5	
B	P	Chloroflexi bacterium JGI 0000112-G22 (unscreened)	5	
B	F	Corynebacterium glutamicum ATCC 13869	5	
B	F	Burkholderia multivorans ATCC 17616	5	
B	P	Brevibacterium sandarakinum DSM 22082	5	
B	P	Stenotrophomonas maltophilia MF89	5	
B	D	Williamsia sp. 1135	5	
B	P	Aquamicrobium sp. SK-2	5	
B	F	Corynebacterium glutamicum XV	5	
B	D	Isolated Sinkhole 2014 Bin 3	5	
B	P	Gordonia polyisoprenivorans HW436	5	
B	F	Microbacterium sp. No. 7 null replaces 100924	5	
B	P	Shinella sp. DD12 (SHLA)	5	
B	P	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_64_33	5	
B	F	Burkholderia multivorans ATCC 17616	5	
B	P	Chryseobacterium gleum F93, ATCC 35910	5	
B	F	Pseudomonas sp. DRA525	5	
B	F	Microbacterium sp. No. 7	5	
B	P	Leptolyngbya sp. KIOST-1	4	
B	F	Sphingopyxis granuli TFA	4	
B	P	Pseudomonas oleovorans LMG 2229	4	
B	P	Acinetobacter baumannii MRSN4119	4	
B	P	Cupriavidus basilensis KF708	4	
B	P	Bacillus cereus 95/8201	4	
B	P	Kocuria rhizophila 14ASP	4	
B	P	Candidimonas bauzanensis CGMCC 1.10190	4	
B	P	Chryseobacterium taichungense DSM 17453	4	
B	F	Bacillus cereus S2-8	4	
B	P	Acinetobacter baumannii MRSN5540	4	
B	P	Asaccharospora irregularis DSM 2635	4	
B	P	Acinetobacter baumannii MRSN3941	4	
B	P	Rhodococcus fascians A22b	4	
B	P	Methylophilus methylotrophus-127-2 (UID203)	4	
B	P	Halomonas halodenitrificans DSM 735	4	
B	P	Bacillus sp. WBUNB001_A	4	
B	P	Halomonas boliviensis LC1	4	
B	P	Rhodococcus pyridinivorans DSM 44555	4	
B	F	Gordonia sp. KTR9	4	
B	F	Bacillus cereus 3A	4	
B	D	Quadrisphaera sp. R2A-380-A	4	
B	D	Tsukamurella tyrosinosolvens PS2	4	
B	P	Acidovorax soli DSM 25157	4	
