taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
2522572194	Archaea	Permanent Draft	Obsidian Pool Nanoarchaeota	Candidatus Nanobsidianus stetteri (unscreened) (Final anotation based on arCOG)	HudsonAlpha Institute for Biotechnology	2522572194	Nanoarchaeota	unclassified	Nanoarchaeales	Nanopusillaceae	Candidatus Nanopusillus	Candidatus Nanopusillus sp. Nst1	593790	702	
641522657	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum neutrophilum V24Sta	DOE Joint Genome Institute (JGI)	641522657	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum	1769823	2053	
649633067	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanothermus fervidus V24S, DSM 2088	DOE Joint Genome Institute (JGI)	649633067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	1243342	1352	
638154519	Archaea	Finished	Sulfolobus tokodaii 7, JCM 10545	Sulfolobus tokodaii 7, JCM 10545	National Institute of Technology and Evaluation	638154519	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii	2694756	2982	
650377985	Archaea	Finished	Vulcanisaeta moutnovskia 768-28	Vulcanisaeta moutnovskia 768-28	Russian Academy of Science, Centre Bioengineering	650377985	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia	2298983	2365	
2501025505	Archaea	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Palaeococcus ferrophilus DMJ, DSM 13482	DOE Joint Genome Institute (JGI)	2501025505	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus ferrophilus	2206431	2399	
648028035	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Ignisphaera aggregans AQ1.S1, DSM 17230	DOE Joint Genome Institute (JGI)	648028035	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	1875953	2042	
2554235511	Archaea	Permanent Draft	Methanocaldococcus villosus KIN24-T80 Genome sequencing	Methanocaldococcus villosus KIN24-T80	King Abdullah University of Science and Technology	2554235511	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus villosus	1207361	1326	
2513237398	Archaea	Finished	Thermococcus litoralis DSM 5473	Thermococcus litoralis DSM 5473	New England Biolabs	2513237398	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis	2309423	2555	
638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Methanocaldococcus jannaschii DSM 2661	J. Craig Venter Institute (JCVI)	638154505	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	1739927	1844	
639633053	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum islandicum DSM 4184	DOE Joint Genome Institute (JGI)	639633053	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum	1826402	2063	
2517093008	Archaea	Permanent Draft	Whole genome sequencing of the primary pancreatic cancer cell line JoPaca-1 and BxPC-3	Methanocaldococcus villosus KIN24-T80	DOE Joint Genome Institute (JGI)	2517093008	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus villosus	1249385	1418	
650716096	Archaea	Finished	Thermococcus barophilus MP, DSM 11836	Thermococcus barophilus MP, DSM 11836	J. Craig Venter Institute (JCVI)	650716096	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	2064237	2315	
