Domain	Status	Genome	Gene Count	
B	P	Lactococcus garvieae TRF1	18	
B	P	Lactococcus sp. DD01	18	
B	P	Lactococcus garvieae Tac2	17	
B	P	Lactococcus garvieae M79	16	
B	P	Lactococcus garvieae I113	16	
B	P	Lactococcus garvieae M14	15	
B	P	Lactococcus garvieae 8831	15	
B	P	Lactococcus garvieae LG9	13	
B	P	Lactococcus garvieae NBRC 100934	13	
B	P	Lactococcus garvieae sv. KG+	12	
B	P	Lactococcus garvieae sv. KG+	12	
B	P	Lactococcus garvieae IPLA 31405	12	
B	P	Lactococcus garvieae 21881	12	
B	P	Lactococcus garvieae UNIUD074	12	
B	P	Lactococcus garvieae Lg-ilsanpaik-gs201105	12	
B	F	Lactococcus garvieae KG- Lg2	11	
B	F	Lactococcus garvieae sv. KG+	11	
B	P	Lactococcus garvieae TB25	11	
B	P	Lactococcus garvieae DCC43	10	
B	P	Enterobacter asburiae ST252:950126202	10	
B	F	Lactococcus lactis cremoris KW2	8	
B	P	Enterococcus gilvus ATCC BAA-350	8	
B	P	Lactococcus lactis lactis M20	8	
B	P	Lactococcus lactis lactis KF134	8	
B	P	Lactococcus lactis lactis LMG9446	8	
B	P	Enterococcus gilvus ATCC BAA-350	8	
B	P	Lactococcus lactis cremoris A17	8	
B	P	Lactococcus lactis lactis Dephy 1	8	
B	F	Lactobacillus backii TMW 1.1988	7	
B	P	Lactococcus lactis lactis DPC6853	7	
B	P	Lactococcus lactis lactis E34	7	
B	P	Streptococcus agalactiae LMG 14838	7	
B	P	Lactococcus lactis lactis KF201	7	
B	P	Lactococcus lactis lactis 1AA59	7	
B	P	Lactococcus lactis lactis ATCC 19435	7	
B	P	Enterococcus pallens ATCC BAA-351	7	
B	P	Lactococcus lactis lactis LMG14418	7	
B	P	Klebsiella pneumoniae IS22	7	
B	P	Lactococcus lactis lactis ML8	7	
B	F	Lactococcus lactis cremoris NZ9000	7	
B	P	Lactococcus lactis lactis KF24	7	
B	P	Lactococcus lactis cremoris Mast36	7	
B	F	Lactococcus lactis cremoris MG1363	7	
B	F	Lactococcus lactis lactis KF147	7	
B	P	Enterococcus Faecium E31	7	
B	F	Lactococcus lactis lactis CV56	7	
B	F	Lactococcus lactis lactis IO-1	7	
B	P	Lactococcus lactis lactis UC317	7	
B	F	Lactococcus lactis cremoris SK11	7	
B	P	Lactococcus lactis cremoris GE214	7	
B	P	Lactococcus lactis Bpl1	7	
B	P	Enterococcus faecium UAA947	7	
B	P	Lactococcus lactis cremoris DPC6860	7	
B	P	Streptococcus agalactiae BSU108	7	
B	P	Lactococcus lactis lactis KF282	7	
B	P	Enterococcus pallens ATCC BAA-351	7	
B	P	Enterococcus Faecium E161	7	
B	P	Lactococcus lactis cremoris DPC6856	7	
B	P	Lactococcus lactis lactis A12	7	
B	P	Streptococcus suis NT77	7	
B	P	Lactococcus lactis lactis 511	7	
B	F	Lactococcus lactis lactis KLDS 4.0325	7	
B	P	Lactococcus lactis lactis LMG8526	7	
B	P	Lactococcus lactis lactis bv. diacetylactis LD61	7	
B	P	Clostridium sp. IODB-O3	7	
B	F	Lactococcus lactis AI06	7	
B	P	Lactococcus lactis lactis bv. diacetylactis TIFN4	7	
B	F	Lactococcus lactis lactis Il1403	7	
B	P	Escherichia coli RU1 BHI5	7	
B	P	Lactococcus lactis lactis KF7	7	
B	P	Lactococcus lactis lactis KF67	7	
B	F	Lactococcus lactis cremoris UC509.9	7	
B	P	Bacillus megaterium NCT-2	7	
B	P	Lactococcus lactis lactis bv. diacetylactis GL2	7	
B	F	Lactococcus lactis lactis S0	7	
B	P	Enterobacter  sp. BWH 37	7	
B	P	Lactococcus lactis S3	7	
B	P	Lactococcus lactis lactis N42	7	
B	P	Lactococcus lactis lactis YF11	7	
B	P	Streptococcus agalactiae DK-NI-014	7	
B	P	Lactococcus lactis lactis KF196	7	
B	P	Lactococcus lactis lactis K231	7	
B	P	Lactococcus lactis lactis NCDO895	7	
