taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
2515075008	Archaea	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Methanolobus tindarius DSM 2278	DOE Joint Genome Institute (JGI)	2515075008	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus tindarius	3151883	3022	
2547132071	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS96C	Washington University in St. Louis	2547132071	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1818239	1863	
650716053	Archaea	Finished	Genome sequencing and comparison of novel methanogens from peatlands and bioreactors	Methanobacterium paludis SWAN-1	DOE Joint Genome Institute (JGI)	650716053	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis	2546541	2500	
2563366543	Archaea	Finished	Methanococcus maripaludis S2	Methanococcus maripaludis S2	University of Washington	2563366543	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	1661137	1772	
2554235505	Archaea	Permanent Draft	Haloarchaeal genomes	Haloterrigena salina JCM 13891	University of California, Davis	2554235505	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena salina	4841607	4621	
2547132055	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS146B	Washington University in St. Louis	2547132055	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1794702	1864	
2531839487	Archaea	Permanent Draft	Halosimplex carlsbadense 2-9-1	Halosimplex carlsbadense 2-9-1	University of California, Davis	2531839487	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	Halosimplex carlsbadense	4694889	4505	
649989953	Archaea	Permanent Draft	Haladaptatus paucihalophilus DX253	Haladaptatus paucihalophilus DX253	Oklahoma State University	649989953	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus paucihalophilus	4284805	4496	
2554235475	Archaea	Permanent Draft	Haloarchaeal genomes	Halorubrum aidingense JCM 13560	University of California, Davis	2554235475	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum aidingense	3108525	3034	
637000162	Archaea	Finished	Methanosarcina barkeri fusaro	Methanosarcina barkeri Fusaro, DSM 804	DOE Joint Genome Institute (JGI)	637000162	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	4873766	3834	
640427121	Archaea	Finished	Methanobrevibacter smithii PS, ATCC 35061	Methanobrevibacter smithii PS, ATCC 35061	Washington University in St. Louis	640427121	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1853160	1841	
2547132056	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS146C	Washington University in St. Louis	2547132056	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1947483	2428	
640069318	Archaea	Finished	Diverse archaeal organisms	Methanoculleus marisnigri JR1, DSM 1498	DOE Joint Genome Institute (JGI)	640069318	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri	2478101	2560	
2554235504	Archaea	Permanent Draft	Haloarchaeal genomes	Natrialba taiwanensis DSM 12281	University of California, Davis	2554235504	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba taiwanensis	4635192	4423	
2531839261	Archaea	Permanent Draft	Natrialba aegyptia DSM 13077	Natrialba aegyptia DSM 13077	University of California, Davis	2531839261	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba aegyptia	4618362	4451	
2506783068	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanofollis liminatans GKZPZ, DSM 4140	DOE Joint Genome Institute (JGI)	2506783068	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis	Methanofollis liminatans	2475100	2522	
640753036	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus vannielii SB	DOE Joint Genome Institute (JGI)	640753036	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii	1720048	1755	
638154508	Archaea	Finished	Methanosarcina acetivorans C2A	Methanosarcina acetivorans C2A	Broad Institute	638154508	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans	5751492	4807	
2593339167	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanobrevibacter millerae DSM 16643	DOE Joint Genome Institute (JGI)	2593339167	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter millerae	2725667	2467	
646564549	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus voltae A3	DOE Joint Genome Institute (JGI)	646564549	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae	1936387	1768	
2545555824	Archaea	Permanent Draft	Halobiforma lacisalsi AJ5, JCM 12983	Halobiforma lacisalsi AJ5, JCM 12983	Zhejiang University	2545555824	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	Halobiforma lacisalsi	4324184	4436	
2547132066	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS95B	Washington University in St. Louis	2547132066	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1972498	1944	
