t.name,Source
b3503,-1
b2495,-1
PA0950,-1
MAFF_RS09665,-1
BB_RS14465,-1
BB_RS13965,-1
MAP_RS04975,-1
Atu1490,-1
STM2495,-1
RS_RS16385,-1
XCC0686,-1
PFL_RS22610,-1
SO_2871,-1
CE_RS05835,-1
bll3084,-1
ECA_RS07940,-1
ECA_RS06225,-1
T_RS01825,-1
CV_RS03765,-1
TX73_RS18150,-1
PSPPH_RS18840,-1
YPTB_RS15115,-1
LPP_RS01550,-1
LPL_RS01475,-1
SPA_RS01850,-1
SCH_RS13045,-1
BRUAB_RS04815,-1
CGTRNA_RS05475,-1
XC_RS17950,-1
PSYC_RS04950,-1
NWI_RS16230,-1
NWI_RS09985,-1
PFL01_RS21250,-1
IS_RS19365,-1
SBO_RS19330,-1
SBO_RS14090,-1
NMUL_RS06085,-1
BAB_RS20760,-1
RHE_RS12955,-1
RPB_RS09915,-1
SARO_RS16650,-1
RPC_RS03105,-1
BPRO_RS11040,-1
RPD_RS17190,-1
CSAL_RS09625,-1
NHAM_RS11435,-1
PCRYO_RS07475,-1
RMET_RS17265,-1
RMET_RS01670,-1
PSEEN_RS06285,-1
MMCS_RS21375,-1
YPN_RS06995,-1
YPA_RS11795,-1
MESO_RS03385,-1
RHA1_RS27595,-1
H16_RS17885,-1
GBCGDNIH1_RS00950,-1
RL_RS14935,-1
RPE_RS18305,-1
PA14_RS21160,-1
MAV_RS05520,-1
SAMA_RS10015,-1
AZO_RS10425,-1
MKMS_RS21620,-1
MAQU_RS04660,-1
AAVE_RS04495,-1
PNAP_RS12925,-1
AJS_RS17670,-1
AJS_RS06450,-1
MJLS_RS23110,-1
MFLV_RS09780,-1
CGR_RS06090,-1
PST_RS14165,-1
ENT638_RS15395,-1
SPUTCN32_RS19895,-1
SPUTCN32_RS08720,-1
SPUTCN32_RS06205,-1
PMEN_RS15120,-1
FJOH_RS24705,-1
ACRY_RS16570,-1
LPC_RS01530,-1
BOV_RS04750,-1
SWIT_RS23715,-1
SWIT_RS11355,-1
PPUT_RS20495,-1
PSYCPRWF_RS03440,-1
KPN_RS17710,-1
KPN_RS15115,-1
MMWYL1_RS11980,-1
MMA_RS17745,-1
OANT_RS11405,-1
XAUT_RS20065,-1
XAUT_RS04385,-1
CKO_RS01355,-1
SPRO_RS18040,-1
SPRO_RS12270,-1
DACI_RS11435,-1
DACI_RS07995,-1
DACI_RS02465,-1
BMUL_RS11715,-1
BCAN_RS04595,-1
BSUIS_RS04745,-1
BPET_RS23070,-1
BPET_RS12545,-1
BPET_RS05200,-1
MEXT_RS19390,-1
MEXT_RS09675,-1
PPUTGB1_RS06385,-1
FPHI_RS09040,-1
CAUL_RS08890,-1
YPK_RS06820,-1
ECOLC_RS06350,-1
ECOLC_RS01120,-1
ECDH10B_RS18705,-1
ECDH10B_RS13530,-1
PPUTW619_RS06085,-1
MRAD2831_RS38800,-1
M446_RS02550,-1
RALTA_RS14855,-1
PMI_RS07645,-1
BIND_RS17250,-1
YPTS_RS14590,-1
RPIC_RS17185,-1
XCCB100_RS17780,-1
ETA_RS06360,-1
MPOP_RS20075,-1
MPOP_RS03475,-1
SMLT_RS15325,-1
SMLT_RS11600,-1
RHECIAT_RS12790,-1
CJA_RS11045,-1
RPAL_RS20150,-1
SMAL_RS13480,-1
SMAL_RS10105,-1
SNSL254_RS13845,-1
SEHA_RS13700,-1
SESA_RS13575,-1
SESA_RS04015,-1
SEAG_RS12760,-1
SED_RS14015,-1
GDIA_RS12765,-1
RLEG2_RS10925,-1
MSIL_RS00535,-1
PCC8801_RS02900,-1
MCHL_RS20270,-1
MCHL_RS05035,-1
PLES_RS22485,-1
MNOD_RS27025,-1
MNOD_RS26860,-1
ARAD_RS06130,-1
DTPSY_RS14455,-1
SUB_RS05275,-1
EPC_RS05825,-1
ROP_RS28360,-1
AVIN_RS16785,-1
AVIN_RS14025,-1
PFLU_RS18435,-1
KP1_RS21405,-1
KP1_RS18955,-1
VAPAR_RS09735,-1
VAPAR_RS09220,-1
RLEG_RS11950,-1
RPIC12D_RS15740,-1
RPIC12D_RS03225,-1
PC1_RS05645,-1
ECBD_RS06190,-1
ECBD_RS01230,-1
ECB_RS17740,-1
ECB_RS12580,-1
ECD_RS17505,-1
ECD_RS12405,-1
METD_RS22010,-1
METD_RS05940,-1
METD_RS05655,-1
NMO_RS00070,-1
BMI_RS04605,-1
