LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
sp|Q7SIF4|AIOA_ALCFA, SV=2 (sp|Q7SIF4|AIOA_ALCFA)
sp|Q8GGJ6|AIOA_HERAR, SV=2 (sp|Q8GGJ6|AIOA_HERAR)
AIOA_NT-26, (AAR05656.1) (AIOA_NT-26)
ARXA_Ectothiorhodospira_PHS-1, (EHQ52454.1) (ARXA_Ectothiorhodospira_PHS-1)
Chrysiogenes_arsenatis, (AAU11839.1) (Chrysiogenes_arsenatis)
Shewanella_sp._ANA-3, (AAQ01672.1) (Shewanella_sp._ANA-3)
Bacillus_selenitireducens, (AAQ19491.1) (Bacillus_selenitireducens)
WP_013173528.1, selenitireducens (WP_013173528.1)
WP_011630159.1, Alkalilimnicola_ehrlichii (WP_011630159.1)
WP_011813170.1, Halorhodospira_halophila (WP_011813170.1)
WP_019593327.1, Thioalkalivibrio_sp._ALM2T (WP_019593327.1)
WP_011627967.1, Alkalilimnicola_ehrlichii (WP_011627967.1)
WP_008932021.1, Ectothiorhodospira_sp._PHS-1 (WP_008932021.1)
ADF47253.1, bacterium_enrichment_culture_clone_aoxheteroB23_4W (ADF47253.1)
AOS87642.1, uncultured_bacterium (AOS87642.1)
AOS87683.1, uncultured_bacterium (AOS87683.1)
AOS87702.1, uncultured_bacterium (AOS87702.1)
AOS87722.1, uncultured_bacterium (AOS87722.1)
BAM24490.1, uncultured_bacterium (BAM24490.1)
BAN63422.1, uncultured_bacterium (BAN63422.1)
BAN63441.1, uncultured_bacterium (BAN63441.1)
BAP99956.1, uncultured_bacterium (BAP99956.1)
BAP99972.1, uncultured_bacterium (BAP99972.1)
BAP99975.1, uncultured_bacterium (BAP99975.1)
CCA86643.1, Ralstonia_syzygii_R24 (CCA86643.1)
ODN69175.1, Methylobrevis_pamukkalensis (ODN69175.1)
ODT19582.1, Kaistia_sp._SCN_65-12 (ODT19582.1)
ODT21655.1, Hyphomicrobium_sp._SCN_65-11 (ODT21655.1)
OFZ99153.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_62_17 (OFZ99153.1)
OGA55942.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_62_58 (OGA55942.1)
OHC82914.1, Rhodospirillales_bacterium_RIFCSPLOWO2_12_FULL_67_15 (OHC82914.1)
OYQ11673.1, Ralstonia_solanacearum (OYQ11673.1)
SDJ46931.1, Bradyrhizobium_sp._Rc2d (SDJ46931.1)
WP_007602791.1, Bradyrhizobium_sp._WSM1253 (WP_007602791.1)
WP_008027033.1, Rhodobacter_sp._SW2 (WP_008027033.1)
